original_snippet	mocked_snippet	var	tbd	type
"""def inset_element_list(lst, x, n):\n    i = n\n    while i < len(lst):\n        lst.insert(i, x)\n        i += n + 1\n    return lst\nnums = [1, 3, 5, 7, 9, 11, 0, 2, 4, 6, 8, 10, 8, 9, 0, 4, 3, 0]\nprint('Original list:')\nprint(nums)\nn = 4\nprint('\\nInsert', x, 'in said list after every', n, 'th element:')\nprint(inset_element_list(nums, x, n))\nchars = ['s', 'd', 'f', 'j', 's', 'a', 'j', 'd', 'f', 'd']\nprint('\\nOriginal list:')\nprint(chars)\nx = 'Z'\nn = 3\nprint('\\nInsert', x, 'in said list after every', n, 'th element:')\nprint(inset_element_list(chars, x, n))"""	"""class TBD4():\n\n    def __init__(self, *args, **kwargs):\n        pass\n\nclass TBD3():\n\n    def __init__(self, *args, **kwargs):\n        pass\n\nclass TBD2():\n\n    def __init__(self, *args, **kwargs):\n        pass\nx = TBD2()\n__original_start_marker = None\n\ndef inset_element_list(lst, x, n):\n    i = n\n    while (i < len(lst)):\n        lst.insert(i, x)\n        i += (n + 1)\n    return lst\nnums = [1, 3, 5, 7, 9, 11, 0, 2, 4, 6, 8, 10, 8, 9, 0, 4, 3, 0]\nprint('Original list:')\nprint(nums)\nn = 4\nprint('\\nInsert', x, 'in said list after every', n, 'th element:')\nprint(inset_element_list(nums, x, n))\nchars = ['s', 'd', 'f', 'j', 's', 'a', 'j', 'd', 'f', 'd']\nprint('\\nOriginal list:')\nprint(chars)\nx = 'Z'\nn = 3\nprint('\\nInsert', x, 'in said list after every', n, 'th element:')\nprint(inset_element_list(chars, x, n))"""	x	TBD2	int
"""print(sum((d['id'] for d in student)))\nprint(sum((d['success'] for d in student)))"""	"""student = {}\n__original_start_marker = None\nprint(sum((d['id'] for d in student)))\nprint(sum((d['success'] for d in student)))"""	student	TBD0	list
'import numpy as np\nx = np.array([2, 3])\nprint(x.size)\nprint(y.size)'	'class TBD2():\n\n    def __init__(self, *args, **kwargs):\n        pass\n\nclass TBD1():\n\n    def __init__(self, *args, **kwargs):\n        self.size = TBD2()\n        pass\ny = TBD1()\n__original_start_marker = None\nimport numpy as np\nx = np.array([2, 3])\nprint(x.size)\nprint(y.size)'	y	TBD1	ndarray
"""def interleave_multiple_lists(list1, list2, list3):\n    result = [el for pair in zip(list1, list2, list3) for el in pair]\n    return result\nlist2 = [10, 20, 30, 40, 50, 60, 70]\nlist3 = [100, 200, 300, 400, 500, 600, 700]\nprint('Original list:')\nprint('list1:', list1)\nprint('list2:', list2)\nprint('list3:', list3)\nprint('\\nInterleave multiple lists:')\nprint(interleave_multiple_lists(list1, list2, list3))"""	"""list1 = {}\n__original_start_marker = None\n\ndef interleave_multiple_lists(list1, list2, list3):\n    result = [el for pair in zip(list1, list2, list3) for el in pair]\n    return result\nlist2 = [10, 20, 30, 40, 50, 60, 70]\nlist3 = [100, 200, 300, 400, 500, 600, 700]\nprint('Original list:')\nprint('list1:', list1)\nprint('list2:', list2)\nprint('list3:', list3)\nprint('\\nInterleave multiple lists:')\nprint(interleave_multiple_lists(list1, list2, list3))"""	list1	TBD2	list
"""import pandas as pd\nfrom pandas.tseries.offsets import *\nimport datetime\nfrom datetime import datetime, date\ndt = datetime(2020, 1, 4)\nprint('Specified date:')\nprint(dt)\nprint('\\nOne business day from the said date:')\nobday = dt + BusinessDay()\nprint(obday)\nprint('\\nTwo business days from the said date:')\ntbday = dt + 2 * BusinessDay()\nprint(tbday)\nprint('\\nThree business days from the said date:')\nthbday = dt + 3 * BusinessDay()\nprint(thbday)\nprint('\\nNext business month end from the said date:')\nprint(nbday)"""	"""class TBD0():\n\n    def __init__(self, *args, **kwargs):\n        pass\nnbday = TBD0()\n__original_start_marker = None\nimport pandas as pd\nfrom pandas.tseries.offsets import *\nimport datetime\nfrom datetime import datetime, date\ndt = datetime(2020, 1, 4)\nprint('Specified date:')\nprint(dt)\nprint('\\nOne business day from the said date:')\nobday = (dt + BusinessDay())\nprint(obday)\nprint('\\nTwo business days from the said date:')\ntbday = (dt + (2 * BusinessDay()))\nprint(tbday)\nprint('\\nThree business days from the said date:')\nthbday = (dt + (3 * BusinessDay()))\nprint(thbday)\nprint('\\nNext business month end from the said date:')\nprint(nbday)"""	nbday	TBD0	Timestamp
"""def cyclically_iteration(lst, spec_index):\n    result = []\n    length = len(lst)\n    for i in range(length):\n        element_index = spec_index % length\n        result.append(lst[element_index])\n        spec_index += 1\n    return result\nprint('Original list:')\nprint(chars)\nspec_index = 3\nprint('\\nIterate the said  list cyclically on specific index position', spec_index, ':')\nprint(cyclically_iteration(chars, spec_index))\nspec_index = 5\nprint('\\nIterate the said  list cyclically on specific index position', spec_index, ':')\nprint(cyclically_iteration(chars, spec_index))"""	"""class TBD1():\n\n    def __init__(self, *args, **kwargs):\n        pass\n\n    def __len__(self):\n        return 0\nchars = TBD1()\n__original_start_marker = None\n\ndef cyclically_iteration(lst, spec_index):\n    result = {}\n    length = len(lst)\n    for i in range(length):\n        element_index = (spec_index % length)\n        result.append(lst[element_index])\n        spec_index += 1\n    return result\nprint('Original list:')\nprint(chars)\nspec_index = 3\nprint('\\nIterate the said  list cyclically on specific index position', spec_index, ':')\nprint(cyclically_iteration(chars, spec_index))\nspec_index = 5\nprint('\\nIterate the said  list cyclically on specific index position', spec_index, ':')\nprint(cyclically_iteration(chars, spec_index))"""	chars	TBD1	list
"""def cast_list(val):\n    return list(val) if isinstance(val, (tuple, list, set, dict)) else [val]\nd1 = [1]\nprint(type(d1))\nprint(cast_list(d1))\nd2 = ('Red', 'Green')\nprint(type(d2))\nprint(cast_list(d2))\nprint(type(d3))\nprint(cast_list(d3))\nd4 = {1: 'Red', 2: 'Green', 3: 'Black'}\nprint(type(d4))\nprint(cast_list(d4))"""	"""class TBD4():\n\n    def __init__(self, *args, **kwargs):\n        pass\nd3 = TBD4()\n\nclass TBD3():\n\n    def __init__(self, *args, **kwargs):\n        pass\nval = TBD3()\n__original_start_marker = None\n\ndef cast_list(val):\n    return (list(val) if isinstance(val, (tuple, list, set, dict)) else [val])\nd1 = [1]\nprint(type(d1))\nprint(cast_list(d1))\nd2 = ('Red', 'Green')\nprint(type(d2))\nprint(cast_list(d2))\nprint(type(d3))\nprint(cast_list(d3))\nd4 = ['Red', 'Green', 'Black']\nprint(type(d4))\nprint(cast_list(d4))"""	d3	TBD4	set
'import numpy as np\nprint(x)\nx = np.round([0.28, 0.5, 0.64], decimals=1)\nprint(x)\nx = np.round([0.5, 1.5, 2.5, 3.5, 4.5])\nprint(x)'	'class TBD2():\n\n    def __init__(self, *args, **kwargs):\n        pass\nx = TBD2()\n__original_start_marker = None\nimport numpy as np\nprint(x)\nx = np.round([0.28, 0.5, 0.64], decimals=1)\nprint(x)\nx = np.round([0.5, 1.5, 2.5, 3.5, 4.5])\nprint(x)'	x	TBD2	ndarray
"""import numpy as np\nq = np.array([10, 11, 12])\nprint('Original arrays:')\nprint('Array-1')\nprint(p)\nprint('Array-2')\nprint(q)\nprint('\\nNew Array:')\nnew_array1 = p + q\nprint(new_array1)"""	"""class TBD2():\n\n    def __init__(self, *args, **kwargs):\n        pass\np = 0\n__original_start_marker = None\nimport numpy as np\nq = np.array([10, 11, 12])\nprint('Original arrays:')\nprint('Array-1')\nprint(p)\nprint('Array-2')\nprint(q)\nprint('\\nNew Array:')\nnew_array1 = (p + q)\nprint(new_array1)"""	p	TBD1	ndarray
"""color2 = ('Black', 'Green', 'White', 'Pink')\nprint(set(color1) & set(color2))"""	"""color1 = {}\n__original_start_marker = None\ncolor2 = ('Black', 'Green', 'White', 'Pink')\nprint((set(color1) & set(color2)))"""	color1	TBD0	tuple
"""import numpy as np\na = np.array([[4, 12, -16], [12, 37, -53], [-16, -53, 98]], dtype=np.int32)\nprint('Original array:')\nprint(a)\nprint('Lower-trianglular L in the Cholesky decomposition of the said array:')\nprint(L)"""	"""class TBD1():\n\n    def __init__(self, *args, **kwargs):\n        pass\nL = TBD1()\n__original_start_marker = None\nimport numpy as np\na = np.array([[4, 12, (- 16)], [12, 37, (- 53)], [(- 16), (- 53), 98]], dtype=np.int32)\nprint('Original array:')\nprint(a)\nprint('Lower-trianglular L in the Cholesky decomposition of the said array:')\nprint(L)"""	L	TBD1	ndarray
"""from numpy.polynomial import polynomial as P\ny = (30, 40, 50)\nprint('Add one polynomial to another:')\nprint(P.polyadd(x, y))\nprint('Subtract one polynomial from another:')\nprint(P.polysub(x, y))\nprint('Multiply one polynomial by another:')\nprint(P.polymul(x, y))\nprint('Divide one polynomial by another:')\nprint(P.polydiv(x, y))"""	"""class TBD1():\n\n    def __init__(self, *args, **kwargs):\n        pass\nx = 0\n__original_start_marker = None\nfrom numpy.polynomial import polynomial as P\ny = (30, 40, 50)\nprint('Add one polynomial to another:')\nprint(P.polyadd(x, y))\nprint('Subtract one polynomial from another:')\nprint(P.polysub(x, y))\nprint('Multiply one polynomial by another:')\nprint(P.polymul(x, y))\nprint('Divide one polynomial by another:')\nprint(P.polydiv(x, y))"""	x	TBD0	tuple
"""import random\nimport os\nprint('Select a random element from a list:')\nelements = [1, 2, 3, 4, 5]\nprint(random.choice(elements))\nprint(random.choice(elements))\nprint(random.choice(elements))\nprint('\\nSelect a random element from a set:')\nelements = set([1, 2, 3, 4, 5])\nprint(random.choice(tuple(elements)))\nprint(random.choice(tuple(elements)))\nprint(random.choice(tuple(elements)))\nprint('\\nSelect a random value from a dictionary:')\nd = {'a': 1, 'b': 2, 'c': 3, 'd': 4, 'e': 5}\nprint(d[key])\nkey = random.choice(list(d))\nprint(d[key])\nkey = random.choice(list(d))\nprint(d[key])\nprint('\\nSelect a random file from a directory.:')\nprint(random.choice(os.listdir('/')))"""	"""class TBD6():\n\n    def __init__(self, *args, **kwargs):\n        pass\n\nclass TBD5():\n\n    def __init__(self, *args, **kwargs):\n        pass\n\nclass TBD4():\n\n    def __init__(self, *args, **kwargs):\n        pass\n\nclass TBD3():\n\n    def __init__(self, *args, **kwargs):\n        pass\nkey = TBD3()\n\nclass TBD2():\n\n    def __init__(self):\n        self.container = {'a': 1, 'b': 2, 'c': 3, 'd': 4, 'e': 5, 'TBD3': TBD3(), 5: TBD4(), 'TBD3': TBD3(), 2: TBD5(), 'TBD3': TBD3(), 3: TBD6(), 'TBD3': TBD3()}\n        self.keys = list(self.container.keys())\n        self.iter_current = 0\n\n    def __refresh_keys(self):\n        self.keys = list(self.container.keys())\n        for key in self.keys:\n            if (not isinstance(key, int)):\n                return\n        sorted(self.keys)\n\n    def __str__(self):\n        self.__refresh_keys()\n        ret_str = ''\n        ret_str += '[ '\n        for (idx, (key, val)) in enumerate(self.container.items()):\n            ret_str += str(val)\n            if (idx < (len(self.keys) - 1)):\n                ret_str += ', '\n        ret_str += ' ]'\n        return ret_str\n\n    def __getitem__(self, key):\n        self.__refresh_keys()\n        ret_val = None\n        if isinstance(key, slice):\n            list_to_return = []\n            start = (key.start or 0)\n            stop = (key.stop or len(self.container))\n            step = (key.step or 1)\n            if (start < 0):\n                if ((start * (- 1)) > len(self.keys)):\n                    diff = ((start * (- 1)) - len(self.keys))\n                    if (len(self.keys) > 0):\n                        for i in range(max(self.keys), ((max(self.keys) + diff) + 1)):\n                            self.container[i] = 0\n                    else:\n                        for i in range(0, (diff + 1)):\n                            self.container[i] = 0\n                self.__refresh_keys()\n                start = self.keys[start]\n            if (stop < 0):\n                if ((stop * (- 1)) > len(self.keys)):\n                    diff = ((stop * (- 1)) - len(self.keys))\n                    if (len(self.keys) > 0):\n                        for i in range(max(self.keys), ((max(self.keys) + diff) + 1)):\n                            self.container[i] = 0\n                    else:\n                        for i in range(0, (diff + 1)):\n                            self.container[i] = 0\n                self.__refresh_keys()\n                stop = self.keys[stop]\n            for i in range(start, stop, step):\n                list_to_return.append(self.container[i])\n            ret_val = list_to_return\n        elif isinstance(key, int):\n            if (key < 0):\n                key = self.keys[key]\n            ret_val = self.container[key]\n        elif isinstance(key, str):\n            if (key not in self.container.keys()):\n                self.container[key] = key\n                print('[FROM INNER-WORLD], [ADD STR-KEY], [TGT {}], [ADDING (KEY, VALUE): ({}, {})]'.format(type(self).__name__, key, 'TBD'))\n            ret_val = self.container[key]\n        else:\n            if (key not in self.container.keys()):\n                self.container[key] = key\n                print('[FROM INNER-WORLD], [ADD OBJ-KEY], [TGT {}], [ADDING (KEY, VALUE): ({}, {})]'.format(type(self).__name__, type(key).__name__, 'TBD'))\n            ret_val = self.container[key]\n        return ret_val\n\n    def __setitem__(self, key, val):\n        self.__refresh_keys()\n        if isinstance(key, slice):\n            start = (key.start or 0)\n            stop = (key.stop or len(self.container))\n            step = (key.step or 1)\n            if (start < 0):\n                start = self.keys[start]\n            if (stop < 0):\n                stop = self.keys[stop]\n            for i in range(0, stop, step):\n                if (i not in self.keys):\n                    self.container[i] = 0\n            for i in range(start, stop, step):\n                self.container[i] = val\n            return True\n        elif isinstance(key, int):\n            if (key < 0):\n                key = self.keys[key]\n            for i in range(0, key):\n                if (i not in self.keys):\n                    self.container[i] = 0\n            self.container[key] = val\n            return True\n        elif isinstance(key, str):\n            self.container[key] = val\n            return True\n        self.__refresh_keys()\n        return False\n\n    def __iter__(self):\n        return iter(self.container.values())\n\n    def __len__(self):\n        return len(self.keys)\n__original_start_marker = None\nimport random\nimport os\nprint('Select a random element from a list:')\nelements = [1, 2, 3, 4, 5]\nprint(random.choice(elements))\nprint(random.choice(elements))\nprint(random.choice(elements))\nprint('\\nSelect a random element from a set:')\nelements = set([1, 2, 3, 4, 5])\nprint(random.choice(tuple(elements)))\nprint(random.choice(tuple(elements)))\nprint(random.choice(tuple(elements)))\nprint('\\nSelect a random value from a dictionary:')\nd = TBD2()\nprint(d[key])\nkey = random.choice(list(d))\nprint(d[key])\nkey = random.choice(list(d))\nprint(d[key])\nprint('\\nSelect a random file from a directory.:')\nprint(random.choice(os.listdir('/')))"""	key	TBD3	str
'import numpy as np\na = [[1, 2], [3, 4]]\na2 = x.tolist()\nprint(a == a2)'	'class TBD2():\n\n    def __init__(self, *args, **kwargs):\n        pass\n\nclass TBD1():\n\n    def __init__(self, *args, **kwargs):\n        pass\n\n    def tolist(self):\n        return TBD2()\nx = TBD1()\n__original_start_marker = None\nimport numpy as np\na = [[1, 2], [3, 4]]\na2 = x.tolist()\nprint((a == a2))'	x	TBD1	ndarray
"""nums1 = [1, 2, 3]\nprint('Original list:')\nprint(nums1)\nprint(nums2)\nresult = map(lambda x, y: x + y, nums1, nums2)\nprint('\\nResult: after adding two list')\nprint(list(result))"""	"""nums2 = {}\n__original_start_marker = None\nnums1 = [1, 2, 3]\nprint('Original list:')\nprint(nums1)\nprint(nums2)\nresult = map((lambda x, y: (x + y)), nums1, nums2)\nprint('\\nResult: after adding two list')\nprint(list(result))"""	nums2	TBD1	list
"""import numpy as np\nprint('Original matrix:\\n')\nX = np.random.rand(5, 10)\nprint(X)\nprint('\\nSubtract the mean of each row of the said matrix:\\n')\nprint(Y)"""	"""class TBD0():\n\n    def __init__(self, *args, **kwargs):\n        pass\nY = TBD0()\n__original_start_marker = None\nimport numpy as np\nprint('Original matrix:\\n')\nX = np.random.rand(5, 10)\nprint(X)\nprint('\\nSubtract the mean of each row of the said matrix:\\n')\nprint(Y)"""	Y	TBD0	ndarray
