snippet_number	original_error	original_error_type	lexecutor_error	lexecutor_error_type	action
264	FileNotFoundError: [Errno 2] No such file or directory: 'filename.csv'	FileNotFoundError	FileNotFoundError: [Errno 2] No such file or directory: 'filename.csv'	FileNotFoundError	
265			null	null	
266			SyntaxError	SyntaxError	
267			null	null	
268			null	null	
269			null	null	
270			SyntaxError	SyntaxError	
271			null	null	
272			SyntaxError	SyntaxError	
273			SyntaxError	SyntaxError	
274	NameError: name 'pandas' is not defined	NameError	TypeError: unsupported operand type(s) for >>: 'DummyObject' and 'DummyObject'	TypeError	
275			SyntaxError	SyntaxError	
276			null	null	
277			SyntaxError	SyntaxError	
278			SyntaxError	SyntaxError	
279			null	null	
280			SyntaxError	SyntaxError	
281			null	null	
282			SyntaxError	SyntaxError	
283			SyntaxError	SyntaxError	
284			SyntaxError	SyntaxError	
285			SyntaxError	SyntaxError	
286	NameError: name 'lines' is not defined	NameError	TypeError: argument of type 'DummyObject' is not iterable	TypeError	
287	NameError: name 'directory' is not defined	NameError	FileNotFoundError: [Errno 2] No such file or directory: 'a'	FileNotFoundError	
288			SyntaxError	SyntaxError	
289			SyntaxError	SyntaxError	
290			SyntaxError	SyntaxError	
291			null	null	
292			null	null	
293			SyntaxError	SyntaxError	
294			SyntaxError	SyntaxError	
295			null	null	
296			null	null	
297			SyntaxError	SyntaxError	
298			null	null	
299			null	null	
300			SyntaxError	SyntaxError	
301			null	null	
302			SyntaxError	SyntaxError	
303			null	null	
304			SyntaxError	SyntaxError	
305			null	null	
306			SyntaxError	SyntaxError	
307			null	null	
308			null	null	
309	NameError: name 'Any' is not defined	NameError	NameError: name 'Any' is not defined	NameError	
310			SyntaxError	SyntaxError	
311			SyntaxError	SyntaxError	
312			SyntaxError	SyntaxError	
313			null	null	
314			SyntaxError	SyntaxError	
315			SyntaxError	SyntaxError	
316			null	null	
317			null	null	
318	NameError: name 'text' is not defined	NameError	TypeError: must be str or None, not DummyObject	TypeError	
319			SyntaxError	SyntaxError	
320			SyntaxError	SyntaxError	
321			null	null	
322			null	null	
323			SyntaxError	SyntaxError	
324	ValueError: Invalid email address	ValueError	ValueError: Invalid email address.	ValueError	
325			SyntaxError	SyntaxError	
326			null	null	
327			SyntaxError	SyntaxError	
328			null	null	
329			SyntaxError	SyntaxError	
330			SyntaxError	SyntaxError	
331	FileNotFoundError: [Errno 2] No such file or directory: 'file.zip'	FileNotFoundError	FileNotFoundError: [Errno 2] No such file or directory: 'file.zip'	FileNotFoundError	
332	NameError: name 'np' is not defined	NameError	ModuleNotFoundError: No module named 'sklearn'	ModuleNotFoundError	
333			null	null	
334			SyntaxError	SyntaxError	
335	KeyError: 3	KeyError	KeyError: 3	KeyError	
336			SyntaxError	SyntaxError	
337			SyntaxError	SyntaxError	
338	NameError: name 'dfbc' is not defined	NameError	TypeError: 'DummyObject' object is not subscriptable	TypeError	
339	NameError: name 'xrange' is not defined	NameError	TypeError: 'DummyObject' object is not iterable	TypeError	
340			null	null	
341			null	null	
342			null	null	
343			null	null	
344			null	null	
345			SyntaxError	SyntaxError	
346			null	null	
347			SyntaxError	SyntaxError	
348			SyntaxError	SyntaxError	
349			SyntaxError	SyntaxError	
350			null	null	
351			null	null	
352			SyntaxError	SyntaxError	
353			null	null	
354	TypeError: an integer is required (got type str)	TypeError	TypeError: an integer is required (got type str)	TypeError	
355			null	null	
356			IndentationError	IndentationError	
357			SyntaxError	SyntaxError	
358			SyntaxError	SyntaxError	
359			null	null	
360			null	null	
361			SyntaxError	SyntaxError	
362			null	null	
363			TypeError: normalize() argument 2 must be str, not DummyObject	TypeError	
364			null	null	
365			SyntaxError	SyntaxError	
366			SyntaxError	SyntaxError	
367			SyntaxError	SyntaxError	
368			null	null	
369			null	null	
370			null	null	
371			SyntaxError	SyntaxError	
372			null	null	
373			SyntaxError	SyntaxError	
374			SyntaxError	SyntaxError	
375	NameError: name 'np' is not defined	NameError	TypeError: unsupported operand type(s) for *: 'DummyObject' and 'DummyObject'	TypeError	
376			null	null	
377			SyntaxError	SyntaxError	
378			null	null	
379	ValueError: No objects to concatenate	ValueError	ValueError: No objects to concatenate	ValueError	
380			null	null	
381			null	null	
382			null	null	
383			null	null	
384			SyntaxError	SyntaxError	
385			SyntaxError	SyntaxError	
386			SyntaxError	SyntaxError	
387			null	null	
388			null	null	
389			null	null	
390			SyntaxError	SyntaxError	
391	ZeroDivisionError: division by zero	ZeroDivisionError	ZeroDivisionError: division by zero	ZeroDivisionError	
392			null	null	
393			SyntaxError	SyntaxError	
394			SyntaxError	SyntaxError	
395			null	null	
396			SyntaxError	SyntaxError	
397			SyntaxError	SyntaxError	
398			null	null	
399			SyntaxError	SyntaxError	
400			null	null	
401			SyntaxError	SyntaxError	
402			null	null	
403	OSError: [Errno 49] Can't assign requested address	OSError	OSError: [Errno 49] Can't assign requested address	OSError	
404			IndentationError	IndentationError	
405	NameError: name 'default_path' is not defined	NameError	FileNotFoundError: [Errno 2] No such file or directory: 'a'	FileNotFoundError	
406	FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Python27\\Lib\\genericpath.py'	FileNotFoundError	FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Python27\\Lib\\genericpath.py'	FileNotFoundError	
407			null	null	
408			SyntaxError	SyntaxError	
409	FileNotFoundError: [Errno 2] No such file or directory: '/pythonwork/thefile_subset11.csv'	FileNotFoundError	FileNotFoundError: [Errno 2] No such file or directory: '/pythonwork/thefile_subset11.csv'	FileNotFoundError	
410			SyntaxError	SyntaxError	
411			SyntaxError	SyntaxError	
412			SyntaxError	SyntaxError	
413			null	null	
414			null	null	
415			null	null	
416			null	null	
417	NameError: name 'l' is not defined	NameError	_csv.Error: iterable expected, not DummyObject	_csv.Error	
418			SyntaxError	SyntaxError	
419			null	null	
420	NameError: name 'In' is not defined	NameError	TypeError: 'DummyObject' object is not subscriptable	TypeError	
421	NameError: name 'some_function' is not defined	NameError	TypeError: unsupported operand type(s) for -: 'str' and 'str'	TypeError	
422			SyntaxError	SyntaxError	
423			SyntaxError	SyntaxError	
424			SyntaxError	SyntaxError	
425			null	null	
426			null	null	
427			null	null	
428			null	null	
429	NameError: name 'groupby' is not defined	NameError	TypeError: 'DummyObject' object is not iterable	TypeError	
430			SyntaxError	SyntaxError	
431	NameError: name 'pip3' is not defined	NameError	TypeError: unsupported operand type(s) for -: 'DummyObject' and 'DummyObject'	TypeError	
432			SyntaxError	SyntaxError	
433			SyntaxError	SyntaxError	
434			null	null	
435	NameError: name 'command' is not defined	NameError	ModuleNotFoundError: No module named 'myapp'	ModuleNotFoundError	
436			SyntaxError	SyntaxError	
437			null	null	
438			SyntaxError	SyntaxError	
439			SyntaxError	SyntaxError	
440			SyntaxError	SyntaxError	
441			SyntaxError	SyntaxError	
442			SyntaxError	SyntaxError	
443			null	null	
444	ModuleNotFoundError: No module named 'more_itertools'	ModuleNotFoundError	TypeError: 'DummyObject' object is not iterable	TypeError	
445			null	null	
446			null	null	
447	ModuleNotFoundError: No module named 'keras'	ModuleNotFoundError	NameError: name 'my_model' is not defined	NameError	
448			SyntaxError	SyntaxError	
449			SyntaxError	SyntaxError	
450			null	null	
451			null	null	
452			null	null	
453			null	null	
454	ValueError: can't have unbuffered text I/O	ValueError	ValueError: can't have unbuffered text I/O	ValueError	
455			SyntaxError	SyntaxError	
456			SyntaxError	SyntaxError	
457			null	null	
458			null	null	
459			SyntaxError	SyntaxError	
460			SyntaxError	SyntaxError	
461			SyntaxError	SyntaxError	
462			null	null	
463			null	null	
464			SyntaxError	SyntaxError	
465			null	null	
466	NameError: name 'Session' is not defined	NameError	TypeError: 'DummyObject' object is not iterable	TypeError	
467	NameError: name 'file' is not defined	NameError	TypeError: 'DummyObject' object is not iterable	TypeError	
468			null	null	
469			SyntaxError	SyntaxError	
470			SyntaxError	SyntaxError	
471			null	null	
472			SyntaxError	SyntaxError	
473			SyntaxError	SyntaxError	
474			SyntaxError	SyntaxError	
475			SyntaxError	SyntaxError	
476			SyntaxError	SyntaxError	
477			SyntaxError	SyntaxError	
478			null	null	
479			null	null	
480			SyntaxError	SyntaxError	
481			null	null	
482			null	null	
483			SyntaxError	SyntaxError	
484			SyntaxError	SyntaxError	
485	FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\System-Pc\\Desktop\\ybear.jpg'	FileNotFoundError	ValueError: not enough values to unpack (expected 2, got 1)	ValueError	
486			SyntaxError	SyntaxError	
487			SyntaxError	SyntaxError	
488			SyntaxError	SyntaxError	
489			SyntaxError	SyntaxError	
490			null	null	
491			null	null	
492	NameError: name 'models' is not defined	NameError	NameError: name 'models' is not defined	NameError	
493			IndentationError	IndentationError	
494			null	null	
495			null	null	
496			SyntaxError	SyntaxError	
497			SyntaxError	SyntaxError	
498			SyntaxError	SyntaxError	
499			null	null	
500			SyntaxError	SyntaxError	
501			null	null	
502			SyntaxError	SyntaxError	
503			null	null	
504			null	null	
505	NameError: name 'plt' is not defined	NameError	TypeError: tuple indices must be integers or slices, not tuple	TypeError	
506			SyntaxError	SyntaxError	
507	NameError: name 'X' is not defined	NameError	TypeError: 'DummyObject' object is not iterable	TypeError	
508			null	null	
509			SyntaxError	SyntaxError	
510			SyntaxError	SyntaxError	
511			SyntaxError	SyntaxError	
512			null	null	
513			null	null	
514			null	null	
515	TypeError: 'builtin_function_or_method' object is not subscriptable	TypeError	TypeError: 'builtin_function_or_method' object is not subscriptable	TypeError	
516			null	null	
517			SyntaxError	SyntaxError	
518	NameError: name 'df' is not defined	NameError	TypeError: 'DummyObject' object is not subscriptable	TypeError	
519			SyntaxError	SyntaxError	
520	ModuleNotFoundError: No module named 'aiofiles'	ModuleNotFoundError	AttributeError: __aexit__	AttributeError	
521			null	null	
522			null	null	
523			null	null	
524			SyntaxError	SyntaxError	
525			SyntaxError	SyntaxError	
526			SyntaxError	SyntaxError	
527			SyntaxError	SyntaxError	
528			SyntaxError	SyntaxError	
529			SyntaxError	SyntaxError	
530			null	null	
531			SyntaxError	SyntaxError	
532			null	null	
533			null	null	
534			SyntaxError	SyntaxError	
535			null	null	
536	NameError: name 'start_date' is not defined	NameError	TypeError: unsupported operand type(s) for +: 'DummyObject' and 'relativedelta'	TypeError	
537			SyntaxError	SyntaxError	
538			null	null	
539			SyntaxError	SyntaxError	
540			SyntaxError	SyntaxError	
541			null	null	
542			SyntaxError	SyntaxError	
543			SyntaxError	SyntaxError	
544			SyntaxError	SyntaxError	
545			SyntaxError	SyntaxError	
546			SyntaxError	SyntaxError	
547			SyntaxError	SyntaxError	
548	ModuleNotFoundError: No module named 'dask'	ModuleNotFoundError	TypeError: object of type 'DummyObject' has no len()	TypeError	
549			null	null	
550			null	null	
551			null	null	
552			SyntaxError	SyntaxError	
553			SyntaxError	SyntaxError	
554			null	null	
555			null	null	
556			SyntaxError	SyntaxError	
557			SyntaxError	SyntaxError	
558			SyntaxError	SyntaxError	
559	NameError: name 'df' is not defined	NameError	TypeError: 'DummyObject' object is not subscriptable	TypeError	
560			SyntaxError	SyntaxError	
561			null	null	
562			SyntaxError	SyntaxError	
563	NameError: name 'numpy' is not defined	NameError	FileNotFoundError: [Errno 2] No such file or directory: 'data'	FileNotFoundError	
564			SyntaxError	SyntaxError	
565			null	null	
566			null	null	
567			SyntaxError	SyntaxError	
568			null	null	
569	FileNotFoundError: c:\1.csv not found	FileNotFoundError	FileNotFoundError: c:\1.csv not found	FileNotFoundError	
570			SyntaxError	SyntaxError	
571			null	null	
572			SyntaxError	SyntaxError	
573			null	null	
574			null	null	
575			null	null	
576			null	null	
577			null	null	
578			SyntaxError	SyntaxError	
579			null	null	
580			null	null	
581			null	null	
582			null	null	
583	NameError: name 'orig' is not defined	NameError	NameError: name 'orig' is not defined	NameError	
584			SyntaxError	SyntaxError	
585			null	null	
586			null	null	
587			null	null	
588			SyntaxError	SyntaxError	
589			null	null	
590			null	null	
591			SyntaxError	SyntaxError	
592			SyntaxError	SyntaxError	
593			null	null	
594			SyntaxError	SyntaxError	
595			SyntaxError	SyntaxError	
596			SyntaxError	SyntaxError	
597			SyntaxError	SyntaxError	
598			SyntaxError	SyntaxError	
599			SyntaxError	SyntaxError	
600			SyntaxError	SyntaxError	
601	NameError: name 'namedtuple' is not defined	NameError	TypeError: 'DummyObject' object is not callable	TypeError	
602	FileNotFoundError: [Errno 2] No such file or directory: './content.xml'	FileNotFoundError	FileNotFoundError: [Errno 2] No such file or directory: './content.xml'	FileNotFoundError	
603			SyntaxError	SyntaxError	
604			SyntaxError	SyntaxError	
605			SyntaxError	SyntaxError	
606			null	null	
607			null	null	
608			SyntaxError	SyntaxError	
609			null	null	
610	FileNotFoundError: [Errno 2] No such file or directory: 'foo.txt'	FileNotFoundError	FileNotFoundError: [Errno 2] No such file or directory: 'foo.txt'	FileNotFoundError	
611			SyntaxError	SyntaxError	
612			null	null	
613			null	null	
614			null	null	
615			null	null	
616			SyntaxError	SyntaxError	
617			SyntaxError	SyntaxError	
618			null	null	
619			SyntaxError	SyntaxError	
620	requests.exceptions.HTTPError: 404 Client Error: Not Found for url: http://lorempixel.com/400/200	requests.exceptions.HTTPError	requests.exceptions.HTTPError: 404 Client Error: Not Found for url: http://lorempixel.com/400/200	requests.exceptions.HTTPError	
621	NameError: name 'df1' is not defined	NameError	TypeError: 'DummyObject' object is not subscriptable	TypeError	
622			SyntaxError	SyntaxError	
623	ModuleNotFoundError: No module named 'nptime'	ModuleNotFoundError	TypeError: unsupported operand type(s) for +: 'DummyObject' and 'datetime.timedelta'	TypeError	
624			null	null	
625			null	null	
626			SyntaxError	SyntaxError	
627			null	null	
628			null	null	
629			null	null	
630			SyntaxError	SyntaxError	
631			SyntaxError	SyntaxError	
632			null	null	
633			SyntaxError	SyntaxError	
634	NameError: name 'np' is not defined	NameError	TypeError: unsupported operand type(s) for *: 'int' and 'DummyObject'	TypeError	
635			SyntaxError	SyntaxError	
636			null	null	
637			SyntaxError	SyntaxError	
638	NameError: name 'filename' is not defined	NameError	TypeError: an integer is required (got type type)	TypeError	
639			null	null	
640			null	null	
641			IndentationError	IndentationError	
642	KeyError: 'ret'	KeyError	KeyError: 'ret'	KeyError	
643			null	null	
644			SyntaxError	SyntaxError	
645	IndexError: list index out of range	IndexError	IndexError: list index out of range	IndexError	
646			null	null	
647	FileNotFoundError: File strings.json does not exist	FileNotFoundError	FileNotFoundError: File strings.json does not exist	FileNotFoundError	
648			SyntaxError	SyntaxError	
649			SyntaxError	SyntaxError	
650			null	null	
651			SyntaxError	SyntaxError	
652			null	null	
653	NameError: name 'plt' is not defined	NameError	TypeError: unsupported operand type(s) for -: 'DummyObject' and 'DummyObject'	TypeError	
654			SyntaxError	SyntaxError	
655			SyntaxError	SyntaxError	
656			SyntaxError	SyntaxError	
657			null	null	
658			SyntaxError	SyntaxError	
659			null	null	
660	NameError: name 'df' is not defined	NameError	TypeError: 'DummyObject' object does not support item assignment	TypeError	
661			SyntaxError	SyntaxError	
662			null	null	
663			SyntaxError	SyntaxError	
664			SyntaxError	SyntaxError	
665			null	null	
666			null	null	
667			null	null	
668			null	null	
669	NameError: name 'mymodule' is not defined	NameError	NameError: name 'mymodule' is not defined	NameError	
670			IndentationError	IndentationError	
671			null	null	
672			SyntaxError	SyntaxError	
673	NameError: name 're' is not defined	NameError	TypeError: 'DummyObject' object is not iterable	TypeError	
674			null	null	
675			SyntaxError	SyntaxError	
676			null	null	
677			SyntaxError	SyntaxError	
678			null	null	
679			null	null	
680			SyntaxError	SyntaxError	
681			null	null	
682			null	null	
683			SyntaxError	SyntaxError	
684	NameError: name 'serial' is not defined	NameError	NameError: name 'serial' is not defined	NameError	
685			null	null	
686			SyntaxError	SyntaxError	
687			null	null	
688			null	null	
689			SyntaxError	SyntaxError	
690	NameError: name 'T1' is not defined	NameError	TypeError: 'DummyObject' object is not iterable	TypeError	
691			SyntaxError	SyntaxError	
692			null	null	
693			SyntaxError	SyntaxError	
694			null	null	
695			null	null	
696			SyntaxError	SyntaxError	
697			SyntaxError	SyntaxError	
698			null	null	
699			SyntaxError	SyntaxError	
700			null	null	
701	FileNotFoundError: [Errno 2] No such file or directory: 'path/to/config.yml'	FileNotFoundError	FileNotFoundError: [Errno 2] No such file or directory: 'path/to/config.yml'	FileNotFoundError	
702			SyntaxError	SyntaxError	
703			null	null	
704	NameError: name 'sys' is not defined	NameError	FileNotFoundError: [Errno 2] No such file or directory: 'your_filename.txt'	FileNotFoundError	
705			SyntaxError	SyntaxError	
706	FileNotFoundError: [Errno 2] No such file or directory: 'your_filename.txt'	FileNotFoundError	FileNotFoundError: [Errno 2] No such file or directory: 'your_filename.txt'	FileNotFoundError	
707			SyntaxError	SyntaxError	
708			null	null	
709			SyntaxError	SyntaxError	
710			null	null	
711			null	null	
712	IndexError: list index out of range	IndexError	IndexError: list index out of range	IndexError	
713			null	null	
714	NameError: name 'stuff' is not defined	NameError	TypeError: 'DummyObject' object is not subscriptable	TypeError	
715			SyntaxError	SyntaxError	
716	NameError: name 'foo' is not defined	NameError	TypeError: can only concatenate str (not "int") to str	TypeError	
717			SyntaxError	SyntaxError	
718			null	null	
719			SyntaxError	SyntaxError	
720			SyntaxError	SyntaxError	
721			IndentationError	IndentationError	
722	NameError: name 'df' is not defined	NameError	TypeError: 'DummyObject' object is not subscriptable	TypeError	
723			null	null	
724			SyntaxError	SyntaxError	
725			null	null	
726			SyntaxError	SyntaxError	
727			null	null	
728			SyntaxError	SyntaxError	
729			SyntaxError	SyntaxError	
730			null	null	
731			null	null	
732			SyntaxError	SyntaxError	
733			SyntaxError	SyntaxError	
734			SyntaxError	SyntaxError	
735	NameError: name 'raw_data' is not defined	NameError	KeyError: 'Mycol'	KeyError	
736			null	null	
737			SyntaxError	SyntaxError	
738	FileNotFoundError: [Errno 2] No such file or directory: '/path/to/somefile.py'	FileNotFoundError	FileNotFoundError: [Errno 2] No such file or directory: '/path/to/somefile.py'	FileNotFoundError	
739			SyntaxError	SyntaxError	
740	NameError: name 'np' is not defined	NameError	TypeError: unsupported operand type(s) for *: 'DummyObject' and 'int'	TypeError	
741			SyntaxError	SyntaxError	
742			SyntaxError	SyntaxError	
743	TypeError: 'foo' is an invalid keyword argument for print()	TypeError	TypeError: 'foo' is an invalid keyword argument for print()	TypeError	
744			null	null	
745			null	null	
746			null	null	
747			SyntaxError	SyntaxError	
748	NameError: name 'df' is not defined	NameError	TypeError: unsupported operand type(s) for /: 'DummyObject' and 'DummyObject'	TypeError	
749			null	null	
750			null	null	
751			SyntaxError	SyntaxError	
752			null	null	
753			SyntaxError	SyntaxError	
754			SyntaxError	SyntaxError	
755			SyntaxError	SyntaxError	
756			null	null	
757			null	null	
758	FileNotFoundError: [Errno 2] No such file or directory: 'whatever.png'	FileNotFoundError	ValueError: not enough values to unpack (expected 2, got 1)	ValueError	
759			null	null	
760			SyntaxError	SyntaxError	
761			null	null	
762			null	null	
763	NameError: name 'num_list' is not defined	NameError	TypeError: 'int' object is not subscriptable	TypeError	
